layer,row,col,temp
1,0,0,118.7
1,0,1,105.6
1,0,2,121.3
1,0,3,113.4
1,0,4,94.4
1,0,5,147.0
1,0,6,103.0
1,0,7,125.5
1,0,8,61.6
1,0,9,135.5
1,0,10,139.4
1,0,11,110.6
1,0,12,121.2
1,0,13,121.2
1,0,14,97.1
1,0,15,120.9
1,0,16,93.8
1,0,17,97.8
1,0,18,132.5
1,0,19,129.5
1,0,20,95.9
1,0,21,95.3
1,0,22,97.1
1,0,23,124.7
1,0,24,90.0
1,0,25,117.1
1,0,26,124.9
1,0,27,108.2
1,0,28,130.2
1,0,29,103.9
1,0,30,105.7
1,0,31,90.5
1,0,32,130.3
1,0,33,94.7
1,0,34,117.0
1,0,35,108.6
1,0,36,88.9
1,0,37,97.8
1,0,38,137.7
1,0,39,114.0
1,0,40,89.8
1,0,41,116.1
1,0,42,107.1
1,0,43,179.1
1,0,44,115.7
1,0,45,102.4
1,0,46,138.4
1,0,47,73.2
1,0,48,111.9
1,0,49,149.9
1,0,50,107.7
1,0,51,75.3
1,0,52,102.1
1,0,53,139.1
1,0,54,117.5
1,0,55,93.2
1,0,56,96.3
1,0,57,98.8
1,0,58,117.2
1,0,59,136.8
1,0,60,131.0
1,0,61,119.1
1,0,62,83.4
1,0,63,83.4
1,1,0,120.7
1,1,1,83.1
1,1,2,105.5
1,1,3,116.1
1,1,4,87.2
1,1,5,89.5
1,1,6,108.1
1,1,7,120.1
1,1,8,131.2
1,1,9,122.1
1,1,10,111.5
1,1,11,95.1
1,1,12,88.6
1,1,13,99.8
1,1,14,118.2
1,1,15,116.7
1,1,16,68.0
1,1,17,94.3
1,1,18,134.1
1,1,19,111.6
1,1,20,81.7
1,1,21,157.1
1,1,22,109.4
1,1,23,117.7
1,1,24,118.0
1,1,25,102.6
1,1,26,95.4
1,1,27,152.4
1,1,28,130.1
1,1,29,126.4
1,1,30,121.5
1,1,31,89.9
1,1,32,135.6
1,1,33,93.1
1,1,34,115.7
1,1,35,77.2
1,1,36,69.2
1,1,37,116.4
1,1,38,93.8
1,1,39,70.2
1,1,40,120.8
1,1,41,152.4
1,1,42,137.8
1,1,43,104.9
1,1,44,110.2
1,1,45,127.8
1,1,46,132.4
1,1,47,103.1
1,1,48,110.7
1,1,49,116.0
1,1,50,121.1
1,1,51,107.3
1,1,52,107.6
1,1,53,137.6
1,1,54,134.2
1,1,55,119.5
1,1,56,144.4
1,1,57,102.3
1,1,58,142.5
1,1,59,120.9
1,1,60,175.4
1,1,61,86.2
1,1,62,96.2
1,1,63,118.4
