layer,row,col,reflectance
1,0,0,0.1763
1,0,1,0.2508
1,0,2,0.0868
1,0,3,0.1913
1,0,4,0.2265
1,0,5,0.1462
1,0,6,0.1995
1,0,7,0.1966
1,0,8,0.12
1,0,9,0.0867
1,0,10,0.2509
1,0,11,0.3099
1,0,12,0.2329
1,0,13,0.2007
1,0,14,0.2336
1,0,15,0.1576
1,0,16,0.0788
1,0,17,0.1949
1,0,18,0.204
1,0,19,0.2863
1,0,20,0.2145
1,0,21,0.1432
1,0,22,0.1738
1,0,23,0.1119
1,0,24,0.2803
1,0,25,0.2261
1,0,26,0.2452
1,0,27,0.1582
1,0,28,0.1416
1,0,29,0.2699
1,0,30,0.1351
1,0,31,0.2196
1,0,32,0.14
1,0,33,0.1791
1,0,34,0.2052
1,0,35,0.0977
1,0,36,0.2118
1,0,37,0.2742
1,0,38,0.1793
1,0,39,0.1664
1,0,40,0.214
1,0,41,0.162
1,0,42,0.1903
1,0,43,0.2678
1,0,44,0.1354
1,0,45,0.2563
1,0,46,0.1855
1,0,47,0.1973
1,0,48,0.1192
1,0,49,0.3004
1,0,50,0.1431
1,0,51,0.1006
1,0,52,0.1773
1,0,53,0.1071
1,0,54,0.128
1,0,55,0.2267
1,0,56,0.184
1,0,57,0.1562
1,0,58,0.1162
1,0,59,0.097
1,0,60,0.1602
1,0,61,0.2088
1,0,62,0.1769
1,0,63,0.1922
1,1,0,0.1845
1,1,1,0.1773
1,1,2,0.0817
1,1,3,0.1825
1,1,4,0.1775
1,1,5,0.1039
1,1,6,0.1533
1,1,7,0.1975
1,1,8,0.0148
1,1,9,0.1632
1,1,10,0.2789
1,1,11,0.1064
1,1,12,0.1175
1,1,13,0.0974
1,1,14,0.0912
1,1,15,0.1979
1,1,16,0.0645
1,1,17,0.1773
1,1,18,0.2824
1,1,19,0.2053
1,1,20,0.2043
1,1,21,0.1335
1,1,22,0.2033
1,1,23,0.2369
1,1,24,0.2662
1,1,25,0.2759
1,1,26,0.236
1,1,27,0.2079
1,1,28,0.3447
1,1,29,0.1647
1,1,30,0.1453
1,1,31,0.2146
1,1,32,0.1725
1,1,33,0.2
1,1,34,0.1482
1,1,35,0.12
1,1,36,0.0996
1,1,37,0.2656
1,1,38,0.2158
1,1,39,0.1112
1,1,40,0.2338
1,1,41,0.1529
1,1,42,0.1343
1,1,43,0.0656
1,1,44,0.127
1,1,45,0.2466
1,1,46,0.2398
1,1,47,0.2135
1,1,48,0.1287
1,1,49,0.1177
1,1,50,0.1787
1,1,51,0.2606
1,1,52,0.2443
1,1,53,0.1807
1,1,54,0.2461
1,1,55,0.0972
1,1,56,0.1691
1,1,57,0.2637
1,1,58,0.1735
1,1,59,0.1602
1,1,60,0.1315
1,1,61,0.0627
1,1,62,0.1828
1,1,63,0.2498
1,2,0,0.1796
1,2,1,0.1176
1,2,2,0.1107
1,2,3,0.1658
1,2,4,0.1246
1,2,5,0.2294
1,2,6,0.3174
1,2,7,0.3034
1,2,8,0.1766
1,2,9,0.1773
1,2,10,0.2237
1,2,11,0.1952
1,2,12,0.1201
1,2,13,0.252
1,2,14,0.092
1,2,15,0.1132
1,2,16,0.2512
1,2,17,0.1022
1,2,18,0.1753
1,2,19,0.193
1,2,20,0.2484
1,2,21,0.1633
1,2,22,0.0416
1,2,23,0.1427
1,2,24,0.157
1,2,25,0.1194
1,2,26,0.0684
1,2,27,0.2027
1,2,28,0.1312
1,2,29,0.1882
1,2,30,0.1317
1,2,31,0.1671
1,2,32,0.2576
1,2,33,0.0943
1,2,34,0.2763
1,2,35,0.2813
1,2,36,0.1437
1,2,37,0.1649
1,2,38,0.1581
1,2,39,0.3168
1,2,40,0.2096
1,2,41,0.1766
1,2,42,0.1402
1,2,43,0.1987
1,2,44,0.1344
1,2,45,0.2939
1,2,46,0.375
1,2,47,0.026
1,2,48,0.1674
1,2,49,0.1426
1,2,50,0.1957
1,2,51,0.1949
1,2,52,0.1668
1,2,53,0.2134
1,2,54,0.1942
1,2,55,0.1817
1,2,56,0.3132
1,2,57,0.1578
1,2,58,0.176
1,2,59,0.134
1,2,60,0.2697
1,2,61,0.2037
1,2,62,0.2227
1,2,63,0.0751
1,3,0,0.1661
1,3,1,0.2937
1,3,2,0.0861
1,3,3,0.2095
1,3,4,0.1606
1,3,5,0.1901
1,3,6,0.096
1,3,7,0.1194
1,3,8,0.2226
1,3,9,0.1199
1,3,10,0.2241
1,3,11,0.1946
1,3,12,0.0907
1,3,13,0.1848
1,3,14,0.0935
1,3,15,0.2043
1,3,16,0.1632
1,3,17,0.1776
1,3,18,0.2323
1,3,19,0.2874
1,3,20,0.2142
1,3,21,0.1466
1,3,22,0.2124
1,3,23,0.0869
1,3,24,0.1479
1,3,25,0.0852
1,3,26,0.1272
1,3,27,0.1708
1,3,28,0.3026
1,3,29,0.2675
1,3,30,0.201
1,3,31,0.1426
1,3,32,0.1563
1,3,33,0.071
1,3,34,0.1932
1,3,35,0.0649
1,3,36,0.0574
1,3,37,0.199
1,3,38,0.132
1,3,39,0.2171
1,3,40,0.2276
1,3,41,0.2395
1,3,42,0.1541
1,3,43,0.2585
1,3,44,0.2643
1,3,45,0.221
1,3,46,0.1518
1,3,47,0.1893
1,3,48,0.1495
1,3,49,0.1907
1,3,50,0.1855
1,3,51,0.164
1,3,52,0.2387
1,3,53,0.0781
1,3,54,0.0822
1,3,55,0.1568
1,3,56,0.197
1,3,57,0.1491
1,3,58,0.1803
1,3,59,0.1722
1,3,60,0.0921
1,3,61,0.0302
1,3,62,0.2343
1,3,63,0.1495
1,4,0,0.1538
1,4,1,0.1602
1,4,2,0.2074
1,4,3,0.1195
1,4,4,0.056
1,4,5,0.229
1,4,6,0.2243
1,4,7,0.2039
1,4,8,0.2295
1,4,9,0.289
1,4,10,0.2687
1,4,11,0.1992
1,4,12,0.2606
1,4,13,0.081
1,4,14,0.1608
1,4,15,0.1941
1,4,16,0.2442
1,4,17,0.2794
1,4,18,0.1472
1,4,19,0.1119
1,4,20,0.0465
1,4,21,0.2818
1,4,22,0.221
1,4,23,0.1961
1,4,24,0.169
1,4,25,0.2127
1,4,26,0.1311
1,4,27,0.1552
1,4,28,0.0994
1,4,29,0.1748
1,4,30,0.2046
1,4,31,0.0
1,4,32,0.1812
1,4,33,0.1612
1,4,34,0.1595
1,4,35,0.226
1,4,36,0.3342
1,4,37,0.2535
1,4,38,0.2184
1,4,39,0.3041
1,4,40,0.2077
1,4,41,0.2922
1,4,42,0.2276
1,4,43,0.2763
1,4,44,0.0216
1,4,45,0.3391
1,4,46,0.3325
1,4,47,0.1495
1,4,48,0.0887
1,4,49,0.167
1,4,50,0.1312
1,4,51,0.1794
1,4,52,0.0943
1,4,53,0.4305
1,4,54,0.1622
1,4,55,0.1266
1,4,56,0.0749
1,4,57,0.2095
1,4,58,0.141
1,4,59,0.2554
1,4,60,0.1655
1,4,61,0.1945
1,4,62,0.0773
1,4,63,0.17
1,5,0,0.1683
1,5,1,0.1814
1,5,2,0.1703
1,5,3,0.2197
1,5,4,0.2315
1,5,5,0.2166
1,5,6,0.191
1,5,7,0.1755
1,5,8,0.2842
1,5,9,0.065
1,5,10,0.2329
1,5,11,0.1893
1,5,12,0.3448
1,5,13,0.1559
1,5,14,0.2546
1,5,15,0.2094
1,5,16,0.158
1,5,17,0.2101
1,5,18,0.1342
1,5,19,0.24
1,5,20,0.231
1,5,21,0.1997
1,5,22,0.1608
1,5,23,0.3343
1,5,24,0.255
1,5,25,0.107
1,5,26,0.0
1,5,27,0.1948
1,5,28,0.0486
1,5,29,0.2007
1,5,30,0.2265
1,5,31,0.2038
1,5,32,0.3146
1,5,33,0.2454
1,5,34,0.2595
1,5,35,0.2497
1,5,36,0.2822
1,5,37,0.1805
1,5,38,0.0746
1,5,39,0.334
1,5,40,0.1818
1,5,41,0.2081
1,5,42,0.1354
1,5,43,0.261
1,5,44,0.0562
1,5,45,0.1462
1,5,46,0.2012
1,5,47,0.1686
1,5,48,0.2064
1,5,49,0.1043
1,5,50,0.2795
1,5,51,0.2601
1,5,52,0.3097
1,5,53,0.2842
1,5,54,0.141
1,5,55,0.1931
1,5,56,0.2693
1,5,57,0.1838
1,5,58,0.172
1,5,59,0.0728
1,5,60,0.0918
1,5,61,0.322
1,5,62,0.214
1,5,63,0.0818
1,6,0,0.1995
1,6,1,0.0628
1,6,2,0.3023
1,6,3,0.1255
1,6,4,0.1065
1,6,5,0.2295
1,6,6,0.2553
1,6,7,0.2445
1,6,8,0.2015
1,6,9,0.1894
1,6,10,0.2147
1,6,11,0.1324
1,6,12,0.3113
1,6,13,0.1419
1,6,14,0.2559
1,6,15,0.0944
1,6,16,0.057
1,6,17,0.1883
1,6,18,0.1621
1,6,19,0.1222
1,6,20,0.067
1,6,21,0.2035
1,6,22,0.1657
1,6,23,0.1135
1,6,24,0.0234
1,6,25,0.15
1,6,26,0.2601
1,6,27,0.2332
1,6,28,0.1237
1,6,29,0.198
1,6,30,0.2001
1,6,31,0.1746
1,6,32,0.2665
1,6,33,0.267
1,6,34,0.2071
1,6,35,0.2221
1,6,36,0.2271
1,6,37,0.1383
1,6,38,0.1506
1,6,39,0.3345
1,6,40,0.1576
1,6,41,0.0044
1,6,42,0.1381
1,6,43,0.2538
1,6,44,0.2643
1,6,45,0.1077
1,6,46,0.0888
1,6,47,0.1935
1,6,48,0.2452
1,6,49,0.1158
1,6,50,0.2569
1,6,51,0.2419
1,6,52,0.3238
1,6,53,0.0948
1,6,54,0.172
1,6,55,0.1873
1,6,56,0.1634
1,6,57,0.0496
1,6,58,0.0
1,6,59,0.2025
1,6,60,0.2383
1,6,61,0.1876
1,6,62,0.3137
1,6,63,0.1866
1,7,0,0.2302
1,7,1,0.1948
1,7,2,0.2033
1,7,3,0.2363
1,7,4,0.3502
1,7,5,0.0538
1,7,6,0.0703
