layer,x,y,temp
0,0,0,1400.54
0,0,1,1363.13
0,0,2,1389.11
0,0,3,1285.76
0,0,4,1333.41
0,0,5,1415.59
0,0,6,1278.56
0,0,7,1442.2
0,0,8,1299.6
0,0,9,1437.25
0,0,10,1349.13
0,0,11,1438.48
0,0,12,1402.84
0,0,13,1311.11
0,0,14,1464.34
0,0,15,1474.93
0,0,16,1392.01
0,0,17,1380.57
0,0,18,1386.84
0,0,19,1342.0
0,0,20,1456.06
0,0,21,1365.77
0,0,22,1392.82
0,0,23,1352.0
0,0,24,1361.2
0,0,25,1325.36
0,0,26,1464.77
0,0,27,1387.16
0,0,28,1448.76
0,0,29,1396.37
0,0,30,1357.44
0,0,31,1377.67
0,1,0,1364.82
0,1,1,1396.07
0,1,2,1374.99
0,1,3,1379.14
0,1,4,1319.81
0,1,5,1351.26
0,1,6,1486.61
0,1,7,1358.72
0,1,8,1337.66
0,1,9,1414.19
0,1,10,1473.03
0,1,11,1315.66
0,1,12,1384.16
0,1,13,1360.87
0,1,14,1298.78
0,1,15,1436.05
0,1,16,1394.34
0,1,17,1399.56
0,1,18,1354.26
0,1,19,1420.65
0,1,20,1365.97
0,1,21,1387.77
0,1,22,1334.68
0,1,23,1328.75
0,1,24,1469.09
0,1,25,1367.74
0,1,26,1411.68
0,1,27,1393.77
0,1,28,1371.37
0,1,29,1367.7
0,1,30,1430.29
0,1,31,1379.03
0,2,0,1387.3
0,2,1,1396.86
0,2,2,1460.34
0,2,3,1433.06
0,2,4,1416.68
0,2,5,1364.64
0,2,6,1319.62
0,2,7,1447.86
0,2,8,1448.79
0,2,9,1387.89
0,2,10,1425.44
0,2,11,1438.61
0,2,12,1441.35
0,2,13,1446.31
0,2,14,1370.57
0,2,15,1478.96
0,2,16,1327.07
0,2,17,1443.03
0,2,18,1422.8
0,2,19,1443.68
0,2,20,1498.98
0,2,21,1477.28
0,2,22,1332.65
0,2,23,1302.76
0,2,24,1440.56
0,2,25,1339.81
0,2,26,1394.95
0,2,27,1441.82
0,2,28,1305.22
0,2,29,1279.58
0,2,30,1409.89
0,2,31,1398.07
0,3,0,1382.11
0,3,1,1397.75
0,3,2,1348.3
0,3,3,1312.39
0,3,4,1386.47
0,3,5,1342.19
0,3,6,1305.24
0,3,7,1423.45
0,3,8,1392.26
0,3,9,1417.99
0,3,10,1341.22
0,3,11,1359.44
0,3,12,1340.69
0,3,13,1346.87
0,3,14,1406.38
0,3,15,1352.57
0,3,16,1415.22
0,3,17,1414.32
0,3,18,1507.02
0,3,19,1319.03
0,3,20,1444.47
0,3,21,1390.71
