layer,x,y,reflectance,melted
0,0,0,0.8358,1
0,0,1,0.7852,1
0,0,2,0.8033,1
0,0,3,0.7523,1
0,0,4,0.0916,0
0,0,5,0.1781,0
0,0,6,0.1498,0
0,0,7,0.2299,0
0,0,8,0.2027,0
0,0,9,0.167,0
0,0,10,0.193,0
0,0,11,0.2517,0
0,0,12,0.7929,1
0,0,13,0.7613,1
0,0,14,0.8736,1
0,0,15,0.8579,1
0,0,16,0.8472,1
0,0,17,0.806,1
0,0,18,0.8163,1
0,0,19,0.8367,1
0,0,20,0.1405,0
0,0,21,0.1156,0
0,0,22,0.1143,0
0,0,23,0.171,0
0,0,24,0.2505,0
0,0,25,0.244,0
0,0,26,0.1458,0
0,0,27,0.1207,0
0,0,28,0.8238,1
0,0,29,0.8122,1
0,0,30,0.8255,1
0,0,31,0.8278,1
0,1,0,0.8059,1
0,1,1,0.8409,1
0,1,2,0.7241,1
0,1,3,0.8419,1
0,1,4,0.7491,1
0,1,5,0.7455,1
0,1,6,0.1802,0
0,1,7,0.1602,0
0,1,8,0.228,0
0,1,9,0.1458,0
0,1,10,0.1216,0
0,1,11,0.2214,0
0,1,12,0.2422,0
0,1,13,0.8234,1
0,1,14,0.7719,1
0,1,15,0.8766,1
0,1,16,0.8136,1
0,1,17,0.7949,1
0,1,18,0.8148,1
0,1,19,0.852,1
0,1,20,0.7974,1
0,1,21,0.203,0
0,1,22,0.1477,0
0,1,23,0.1958,0
0,1,24,0.2441,0
0,1,25,0.1926,0
0,1,26,0.2381,0
0,1,27,0.2361,0
0,1,28,0.209,0
0,1,29,0.8275,1
0,1,30,0.779,1
0,1,31,0.7837,1
0,2,0,0.8371,1
0,2,1,0.8559,1
0,2,2,0.7921,1
0,2,3,0.8266,1
0,2,4,0.8422,1
0,2,5,0.7848,1
0,2,6,0.8255,1
0,2,7,0.8141,1
0,2,8,0.2319,0
0,2,9,0.2245,0
0,2,10,0.1213,0
0,2,11,0.1316,0
0,2,12,0.2505,0
0,2,13,0.2082,0
0,2,14,0.097,0
0,2,15,0.8899,1
0,2,16,0.8046,1
0,2,17,0.8813,1
0,2,18,0.8463,1
0,2,19,0.8283,1
0,2,20,0.8546,1
0,2,21,0.8424,1
0,2,22,0.8262,1
0,2,23,0.279,0
0,2,24,0.1551,0
0,2,25,0.25,0
0,2,26,0.2351,0
0,2,27,0.2199,0
0,2,28,0.188,0
0,2,29,0.1387,0
0,2,30,0.8284,1
0,2,31,0.8583,1
0,3,0,0.2351,0
0,3,1,0.8282,1
0,3,2,0.7844,1
0,3,3,0.7825,1
0,3,4,0.1745,1
0,3,5,0.815,1
0,3,6,0.7459,1
0,3,7,0.8402,1
0,3,8,0.8153,1
0,3,9,0.1227,0
0,3,10,0.1677,0
0,3,11,0.1246,0
0,3,12,0.1976,0
0,3,13,0.1438,0
0,3,14,0.1836,0
0,3,15,0.2056,0
0,3,16,0.1973,0
0,3,17,0.847,1
0,3,18,0.8147,1
0,3,19,0.8127,1
0,3,20,0.88,1
0,3,21,0.7787,1
0,3,22,0.7907,1
0,3,23,0.7517,1
0,3,24,0.8076,1
0,3,25,0.1968,0
0,3,26,0.133,0
0,3,27,0.1656,0
0,3,28,0.2137,0
0,3,29,0.1654,0
0,3,30,0.2772,0
0,3,31,0.122,0
0,4,0,0.1718,0
0,4,1,0.2413,0
0,4,2,0.164,0
0,4,3,0.7797,1
0,4,4,0.9069,1
0,4,5,0.8417,1
0,4,6,0.7751,1
0,4,7,0.7779,1
0,4,8,0.87,1
0,4,9,0.8043,1
0,4,10,0.7941,1
0,4,11,0.1962,0
0,4,12,0.15,0
0,4,13,0.1711,0
0,4,14,0.2006,0
0,4,15,0.2442,0
0,4,16,0.1889,0
0,4,17,0.214,0
0,4,18,0.8249,1
0,4,19,0.8546,1
0,4,20,0.7912,1
0,4,21,0.8197,1
0,4,22,0.8244,1
0,4,23,0.7338,1
0,4,24,0.86,1
0,4,25,0.869,1
0,4,26,0.2148,0
0,4,27,0.1764,0
0,4,28,0.2276,0
0,4,29,0.1389,0
0,4,30,0.1548,0
0,4,31,0.1968,0
0,5,0,0.1704,0
0,5,1,0.2229,0
0,5,2,0.1897,0
0,5,3,0.1672,0
0,5,4,0.2011,0
0,5,5,0.8565,1
0,5,6,0.8059,1
0,5,7,0.8718,1
0,5,8,0.8285,1
0,5,9,0.841,1
0,5,10,0.7955,1
0,5,11,0.8737,1
0,5,12,0.8986,1
0,5,13,0.2719,0
0,5,14,0.2492,0
0,5,15,0.1834,0
0,5,16,0.2662,0
0,5,17,0.2451,0
0,5,18,0.1716,0
0,5,19,0.206,0
0,5,20,0.8664,1
0,5,21,0.8262,1
0,5,22,0.8237,1
0,5,23,0.8246,1
0,5,24,0.7833,1
0,5,25,0.8814,1
0,5,26,0.8357,1
0,5,27,0.8711,1
0,5,28,0.2225,0
0,5,29,0.1161,0
0,5,30,0.2072,0
0,5,31,0.2484,0
0,6,0,0.2182,0
0,6,1,0.191,0
0,6,2,0.2164,0
0,6,3,0.1541,0
0,6,4,0.1547,0
0,6,5,0.176,0
0,6,6,0.8431,1
0,6,7,0.856,1
0,6,8,0.8025,1
0,6,9,0.8301,1
0,6,10,0.8194,1
0,6,11,0.8336,1
0,6,12,0.7492,1
0,6,13,0.846,1
0,6,14,0.1645,0
0,6,15,0.0956,0
0,6,16,0.211,0
0,6,17,0.1908,0
0,6,18,0.1434,0
0,6,19,0.1451,0
0,6,20,0.1608,0
0,6,21,0.1965,0
0,6,22,0.7779,1
0,6,23,0.7806,1
0,6,24,0.8351,1
0,6,25,0.7868,1
0,6,26,0.7898,1
0,6,27,0.8629,1
0,6,28,0.7926,1
0,6,29,0.2972,0
0,6,30,0.2414,0
0,6,31,0.1755,0
0,7,0,0.8065,1
0,7,1,0.1696,0
0,7,2,0.1766,0
0,7,3,0.2223,0
0,7,4,0.1629,0
0,7,5,0.2646,0
0,7,6,0.1883,0
0,7,7,0.1854,0
0,7,8,0.8327,1
0,7,9,0.7772,1
0,7,10,0.8456,1
0,7,11,0.8517,1
0,7,12,0.7769,1
0,7,13,0.7995,1
0,7,14,0.8245,1
0,7,15,0.8009,1
0,7,16,0.1842,0
0,7,17,0.1307,0
0,7,18,0.1075,0
0,7,19,0.2488,0
0,7,20,0.1499,0
0,7,21,0.1596,0
0,7,22,0.2547,0
0,7,23,0.7808,1
0,7,24,0.8623,1
0,7,25,0.8411,1
0,7,26,0.8843,1
0,7,27,0.7517,1
0,7,28,0.8314,1
0,7,29,0.8043,1
0,7,30,0.8588,1
0,7,31,0.2257,0
0,8,0,0.8803,1
0,8,1,0.7928,1
0,8,2,0.26,0
0,8,3,0.1148,0
0,8,4,0.2321,0
0,8,5,0.1414,0
0,8,6,0.1275,0
0,8,7,0.2237,0
0,8,8,0.1601,0
0,8,9,0.1775,0
0,8,10,0.8549,1
0,8,11,0.8309,1
0,8,12,0.8542,1
0,8,13,0.8134,1
0,8,14,0.8303,1
0,8,15,0.8486,1
0,8,16,0.7874,1
0,8,17,0.1624,0
0,8,18,0.1849,0
0,8,19,0.2786,0
0,8,20,0.2319,0
0,8,21,0.23,0
0,8,22,0.2459,0
0,8,23,0.1778,0
0,8,24,0.2133,0
0,8,25,0.8436,1
0,8,26,0.8446,1
0,8,27,0.8279,1
0,8,28,0.8717,1
0,8,29,0.7991,1
0,8,30,0.7753,1
0,8,31,0.8515,1
0,9,0,0.7888,1
0,9,1,0.7448,1
0,9,2,0.917,1
0,9,3,0.8122,1
0,9,4,0.2274,0
0,9,5,0.1562,0
0,9,6,0.2018,0
0,9,7,0.2556,0
0,9,8,0.1883,0
0,9,9,0.2088,0
0,9,10,0.3073,0
0,9,11,0.766,1
0,9,12,0.7851,1
0,9,13,0.7798,1
0,9,14,0.7892,1
0,9,15,0.8,1
0,9,16,0.7613,1
0,9,17,0.8795,1
0,9,18,0.8167,1
0,9,19,0.1918,0
0,9,20,0.2259,0
0,9,21,0.1579,0
0,9,22,0.2235,0
0,9,23,0.1694,0
0,9,24,0.2073,0
0,9,25,0.2146,0
0,9,26,0.7968,1
0,9,27,0.7971,1
0,9,28,0.8057,1
0,9,29,0.8568,1
0,9,30,0.7591,1
0,9,31,0.8108,1
0,10,0,0.7616,1
0,10,1,0.7431,1
0,10,2,0.8324,1
0,10,3,0.7713,1
0,10,4,0.8381,1
0,10,5,0.1575,0
0,10,6,0.181,0
0,10,7,0.2087,0
0,10,8,0.2029,0
0,10,9,0.1432,0
0,10,10,0.1755,0
0,10,11,0.095,0
0,10,12,0.2261,0
0,10,13,0.82,1
0,10,14,0.7941,1
0,10,15,0.7304,1
0,10,16,0.874,1
0,10,17,0.774,1
0,10,18,0.8639,1
0,10,19,0.7478,1
0,10,20,0.8052,1
0,10,21,0.1821,0
0,10,22,0.1546,0
0,10,23,0.2108,0
0,10,24,0.1761,0
0,10,25,0.176,0
0,10,26,0.1576,0
0,10,27,0.1993,0
0,10,28,0.8108,1
0,10,29,0.808,1
0,10,30,0.8139,1
0,10,31,0.8155,1
0,11,0,0.9085,1
0,11,1,0.7871,1
0,11,2,0.8064,1
0,11,3,0.8126,1
0,11,4,0.7711,1
0,11,5,0.7724,1
0,11,6,0.882,1
0,11,7,0.1457,0
0,11,8,0.2072,0
0,11,9,0.2372,0
0,11,10,0.1753,0
0,11,11,0.1851,0
0,11,12,0.3001,0
0,11,13,0.1999,0
0,11,14,0.7513,1
0,11,15,0.7527,1
0,11,16,0.7966,1
0,11,17,0.8489,1
0,11,18,0.8103,1
0,11,19,0.8108,1
0,11,20,0.7853,1
0,11,21,0.8322,1
0,11,22,0.1407,0
0,11,23,0.2134,0
0,11,24,0.1904,0
0,11,25,0.133,0
0,11,26,0.1987,0
0,11,27,0.138,0
0,11,28,0.1579,0
0,11,29,0.1217,0
0,11,30,0.8226,1
0,11,31,0.8808,1
0,12,0,0.1947,0
0,12,1,0.8325,1
0,12,2,0.7917,1
0,12,3,0.7047,1
0,12,4,0.8173,1
0,12,5,0.8432,1
0,12,6,0.8228,1
0,12,7,0.8343,1
0,12,8,0.7717,1
0,12,9,0.1849,0
0,12,10,0.2002,0
0,12,11,0.2086,0
0,12,12,0.1888,0
0,12,13,0.1822,0
0,12,14,0.1541,0
0,12,15,0.1512,0
0,12,16,0.845,1
0,12,17,0.8114,1
0,12,18,0.797,1
0,12,19,0.8311,1
0,12,20,0.8821,1
0,12,21,0.8467,1
0,12,22,0.8519,1
0,12,23,0.8495,1
0,12,24,0.2252,0
0,12,25,0.2153,0
0,12,26,0.264,0
0,12,27,0.1386,0
0,12,28,0.1317,0
0,12,29,0.2245,0
0,12,30,0.1086,0
0,12,31,0.8437,1
0,13,0,0.1402,0
0,13,1,0.1438,0
0,13,2,0.825,1
0,13,3,0.7788,1
0,13,4,0.8407,1
0,13,5,0.809,1
0,13,6,0.8114,1
0,13,7,0.838,1
0,13,8,0.8473,1
0,13,9,0.7933,1
0,13,10,0.2366,0
0,13,11,0.1199,0
0,13,12,0.205,0
0,13,13,0.1382,0
0,13,14,0.2052,0
0,13,15,0.1985,0
0,13,16,0.1391,0
0,13,17,0.1976,0
0,13,18,0.8402,1
0,13,19,0.7835,1
0,13,20,0.8026,1
0,13,21,0.8521,1
0,13,22,0.7761,1
0,13,23,0.8487,1
0,13,24,0.753,1
0,13,25,0.7742,1
0,13,26,0.2094,0
0,13,27,0.1898,0
0,13,28,0.1398,0
0,13,29,0.2099,0
0,13,30,0.1793,0
0,13,31,0.1046,0
0,14,0,0.1125,0
0,14,1,0.1748,0
